model,prep,f1_all,f1_numeric_only
DistilBERT,original,0.7609861153339414,0.7941571625512572
DistilBERT,mask_nums,0.7521260031141453,0.7922083127682805
DistilBERT,digit_split,0.7538282644040293,0.7920380779348587
RoBERTa,original,0.8097199306783364,0.841376478168931
RoBERTa,mask_nums,0.8104516836230938,0.8343140257858984
RoBERTa,digit_split,0.7968032477862804,0.8298497516210515
XLM-R,original,0.4781849190697503,0.49355143126769424
XLM-R,mask_nums,0.5694202703722572,0.6066964285714286
XLM-R,digit_split,0.5430400529156775,0.5868850415680863
