model,preprocessing,accuracy,f1_macro,mean_seq_len
DistilBERT,original,0.7969072164948454,0.7609861153339414,30.602350917431192
DistilBERT,mask_nums,0.7927835051546391,0.7521260031141453,29.59461009174312
DistilBERT,digit_split,0.7938144329896907,0.7538282644040293,32.570814220183486
RoBERTa,original,0.8216494845360824,0.8097199306783364,30.571100917431192
RoBERTa,mask_nums,0.8257731958762886,0.8104516836230938,30.74283256880734
RoBERTa,digit_split,0.8164948453608247,0.7968032477862804,32.59375
XLM-R,original,0.7134020618556701,0.4781849190697503,33.95355504587156
XLM-R,mask_nums,0.7195876288659794,0.5694202703722572,33.538704128440365
XLM-R,digit_split,0.7154639175257732,0.5430400529156775,36.8706995412844
